title,release_year,genre,director,country,duration,imdb_rating,main_actors,imdb_nb_votes
The Shawshank Redemption,1994,Drama,Frank Darabont,USA,142,9.3,"Tim Robbins, Morgan Freeman, Bob Gunton",3031101.0
The Godfather,1972,"Crime, Drama",Francis Ford Coppola,USA,175,9.2,"Marlon Brando, Al Pacino, James Caan",2108592.0
12 Angry Men,1957,Drama,Sidney Lumet,USA,96,9.0,"Henry Fonda, Lee J. Cobb, Martin Balsam",920922.0
Schindler's List,1993,"Biography, Drama, History",Steven Spielberg,USA,195,9.0,"Liam Neeson, Ralph Fiennes, Ben Kingsley",1517035.0
Pulp Fiction,1994,"Crime, Drama",Quentin Tarantino,USA,154,8.9,"John Travolta, Uma Thurman, Samuel L. Jackson",2318236.0
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",Peter Jackson,New Zealand,178,8.9,"Elijah Wood, Ian McKellen, Orlando Bloom",2091490.0
Inception,2010,"Action, Adventure, Sci-Fi",Christopher Nolan,USA,148,8.8,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",2671882.0
Fight Club,1999,Drama,David Fincher,USA,139,8.8,"Brad Pitt, Edward Norton, Meat Loaf",2456010.0
Forrest Gump,1994,"Drama, Romance",Robert Zemeckis,USA,142,8.8,"Tom Hanks, Robin Wright, Gary Sinise",2368927.0
Goodfellas,1990,"Biography, Crime, Drama",Martin Scorsese,USA,146,8.7,"Robert De Niro, Ray Liotta, Joe Pesci",1319523.0
